Línea,Código Equipo,Equipo,Orden,Desc. Orden,Descripción,Duración,revisado tiempo,revisado presupuesto,revisado repuestos,revisado repuestos programador,aprobacion programador,correo de programador,correo de planeador,Completado,Observaciones,Fecha Programada,imagen_observacion
TRATAMIENTO DE AGUA PARA ENVASADO,70965524,SOPLADORA FILTROS DE ARENA,13344912,Inspección semanal sopladora filtro aren,Verificar presencia de ruido extraño,"0,05",si,si,si,si,,,,,,,
TRATAMIENTO DE AGUA PARA ENVASADO,70965524,SOPLADORA FILTROS DE ARENA,13344912,Inspección semanal sopladora filtro aren,Verificar estado del motor,"0,05",,,,,,,,,,,
TRATAMIENTO DE AGUA PARA ENVASADO,70965524,SOPLADORA FILTROS DE ARENA,13344912,Inspección semanal sopladora filtro aren,Verificarar nivel de aceite,"0,05",,,,,,,,,,,
TRATAMIENTO DE AGUA PARA ENVASADO,70965524,SOPLADORA FILTROS DE ARENA,13344912,Inspección semanal sopladora filtro aren,Verificar presencia de fuga de aceite,"0,05",,,,,,,,,,,
TRATAMIENTO DE AGUA PARA ENVASADO,70965524,SOPLADORA FILTROS DE ARENA,13344912,Inspección semanal sopladora filtro aren,Revisar soportes,"0,05",,,,,,,,,,,
TRATAMIENTO DE AGUA PARA ENVASADO,70965524,SOPLADORA FILTROS DE ARENA,13344912,Inspección semanal sopladora filtro aren,Revisar estado de tornilleria,"0,05",,,,,,,,,,,
TRATAMIENTO DE AGUA PARA ENVASADO,70965524,SOPLADORA FILTROS DE ARENA,13344912,Inspección semanal sopladora filtro aren,Revisar estado junta flexible,"0,05",,,,,,,,,,,
TRATAMIENTO DE AGUA PARA ENVASADO,70965524,SOPLADORA FILTROS DE ARENA,13344912,Inspección semanal sopladora filtro aren,Revisar estado de cableado,"0,05",,,,,,,,,,,
TRATAMIENTO DE AGUA PARA ENVASADO,70965524,SOPLADORA FILTROS DE ARENA,13344912,Inspección semanal sopladora filtro aren,Revisar estado de las correas,"0,05",,,,,,,,,,,
TRATAMIENTO DE AGUA PARA ENVASADO,70965524,SOPLADORA FILTROS DE ARENA,13344912,Inspección semanal sopladora filtro aren,Revisión limpieza extractor IO climatizador tablero eléctrico,"0,05",,,,,,,,,,,
TRATAMIENTO DE AGUA PARA ENVASADO,70965526,BOMBA AGUA RETROLAVADO FILTRO ARENA,13344914,Inspección semanal bom ag retro filt are,Revisar fugas ,"0,1",si,si,si,si,,,,,,,
TRATAMIENTO DE AGUA PARA ENVASADO,70965526,BOMBA AGUA RETROLAVADO FILTRO ARENA,13344914,Inspección semanal bom ag retro filt are,Revisar presencia de ruido extraño,"0,1",,,,,,,,,,,
TRATAMIENTO DE AGUA PARA ENVASADO,70965526,BOMBA AGUA RETROLAVADO FILTRO ARENA,13344914,Inspección semanal bom ag retro filt are,Estado de la bomba y base,"0,1",,,,,,,,,,,
TRATAMIENTO DE AGUA PARA ENVASADO,70965526,BOMBA AGUA RETROLAVADO FILTRO ARENA,13344914,Inspección semanal bom ag retro filt are,Revisar estado cableado electrico,"0,1",,,,,,,,,,,
TRATAMIENTO DE AGUA PARA ENVASADO,70965526,BOMBA AGUA RETROLAVADO FILTRO ARENA,13344914,Inspección semanal bom ag retro filt are,Revisión limpieza extractor IO climatizador tablero eléctrico,"0,1",,,,,,,,,,,
TRATAMIENTO DE AGUA PARA ENVASADO,70965531,BOMBA SERVICIOS GENERALES 1,13344919,Inspección semanal bomba serv. general 1,Revisar presostato,"0,0625",si,si,si,si,,,,,,,
TRATAMIENTO DE AGUA PARA ENVASADO,70965531,BOMBA SERVICIOS GENERALES 1,13344919,Inspección semanal bomba serv. general 1,Revisar bomba,"0,0625",,,,,,,,,,,
TRATAMIENTO DE AGUA PARA ENVASADO,70965531,BOMBA SERVICIOS GENERALES 1,13344919,Inspección semanal bomba serv. general 1,Revisar presencia de fugas,"0,0625",,,,,,,,,,,
TRATAMIENTO DE AGUA PARA ENVASADO,70965531,BOMBA SERVICIOS GENERALES 1,13344919,Inspección semanal bomba serv. general 1,Revisar presencia de ruido extraño,"0,0625",,,,,,,,,,,
TRATAMIENTO DE AGUA PARA ENVASADO,70965531,BOMBA SERVICIOS GENERALES 1,13344919,Inspección semanal bomba serv. general 1,Revisar estado del variador,"0,0625",,,,,,,,,,,
TRATAMIENTO DE AGUA PARA ENVASADO,70965531,BOMBA SERVICIOS GENERALES 1,13344919,Inspección semanal bomba serv. general 1,Estado ventilador extractor del tablero electrico,"0,0625",,,,,,,,,,,
TRATAMIENTO DE AGUA PARA ENVASADO,70965531,BOMBA SERVICIOS GENERALES 1,13344919,Inspección semanal bomba serv. general 1,Estado del cableado y conexiones del tablero electrico,"0,0625",,,,,,,,,,,
TRATAMIENTO DE AGUA PARA ENVASADO,70965531,BOMBA SERVICIOS GENERALES 1,13344919,Inspección semanal bomba serv. general 1,Verificar conmutación variadores,"0,0625",,,,,,,,,,,
TRATAMIENTO DE AGUA PARA ENVASADO,70965532,BOMBA SERVICIOS GENERALES 2,13344920,Inspección semanal bomba serv. general 2,Revisar presostato,"0,1",si,si,si,si,,,,,,,
TRATAMIENTO DE AGUA PARA ENVASADO,70965532,BOMBA SERVICIOS GENERALES 2,13344920,Inspección semanal bomba serv. general 2,Revisar bomba,"0,1",,,,,,,,,,,
TRATAMIENTO DE AGUA PARA ENVASADO,70965532,BOMBA SERVICIOS GENERALES 2,13344920,Inspección semanal bomba serv. general 2,Revisar presencia de fugas,"0,1",,,,,,,,,,,
TRATAMIENTO DE AGUA PARA ENVASADO,70965532,BOMBA SERVICIOS GENERALES 2,13344920,Inspección semanal bomba serv. general 2,Revisar presencia de ruido extraño,"0,1",,,,,,,,,,,
TRATAMIENTO DE AGUA PARA ENVASADO,70965532,BOMBA SERVICIOS GENERALES 2,13344920,Inspección semanal bomba serv. general 2,Revisar estado del variador,"0,1",,,,,,,,,,,
TRATAMIENTO DE AGUA PARA ENVASADO,70965555,TANQUE DE EPM,13344935,Inspección semanal tk epm,Estado del tanque EPM ,"0,0625",si,si,si,si,,,,,,,
TRATAMIENTO DE AGUA PARA ENVASADO,70965556,TABLERO EPM,13344936,Inspección semanal tablero epm,Estado del tablero eléctrico  cod: 70965556,"0,1",si,si,si,si,,,,,,,
TRATAMIENTO DE AGUA PARA ENVASADO,70965555,TANQUE DE EPM,13344935,Inspección semanal tk epm,Estado del cableado eléctrico y sensores.,"0,0625",,,,,,,,,,,
TRATAMIENTO DE AGUA PARA ENVASADO,70965555,TANQUE DE EPM,13344935,Inspección semanal tk epm,"Estado de tuberías, válvulas, empaques y cheques","0,0625",,,,,,,,,,,
TRATAMIENTO DE AGUA PARA ENVASADO,70965555,TANQUE DE EPM,13344935,Inspección semanal tk epm,Estado de limpieza tanque EPM,"0,0625",,,,,,,,,,,
TRATAMIENTO DE AGUA PARA ENVASADO,70965556,TABLERO EPM,13344936,Inspección semanal tablero epm,Estado de limpieza tablero eléctrico ,"0,1",,,,,,,,,,,
TRATAMIENTO DE AGUA PARA ENVASADO,70965556,TABLERO EPM,13344936,Inspección semanal tablero epm,Estado climatizador ,"0,1",,,,,,,,,,,
TRATAMIENTO DE AGUA PARA ENVASADO,70965555,TANQUE DE EPM,13344935,Inspección semanal tk epm,Estado de compresor de aire ,"0,0625",,,,,,,,,,,
TRATAMIENTO DE AGUA PARA ENVASADO,70965555,TANQUE DE EPM,13344935,Inspección semanal tk epm,Estado de correas,"0,0625",,,,,,,,,,,
TRATAMIENTO DE AGUA PARA ENVASADO,70965555,TANQUE DE EPM,13344935,Inspección semanal tk epm,Verificar fugas de aire ,"0,0625",,,,,,,,,,,
TRATAMIENTO DE AGUA PARA ENVASADO,70965553,BOMBA EPM 2,13344933,Inspección semanal bomba epm 2,Estado bomba sumergible ,"0,0625",si,si,si,si,,,,,,,
TRATAMIENTO DE AGUA PARA ENVASADO,70965554,BOMBA EPM 3,13344934,Inspección semanal bomba epm 3,Estado bomba sumergible ,"0,0625",si,si,si,si,,,,,,,
TRATAMIENTO DE AGUA PARA ENVASADO,70965552,BOMBA EPM 1,13344932,Inspección semanal bomba epm 1,Estado bomba sumergible ,"0,0714285714",si,si,si,si,,,,,,,
TRATAMIENTO DE AGUA PARA ENVASADO,70965556,TABLERO EPM,13344936,Inspección semanal tablero epm,Revisión limpieza extractor IO climatizador tablero eléctrico,"0,1",,,,,,,,,,,
